Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2025-09-26;1049353;9350312,50;1;130000000,00;2;95952,40;1;15829,80;8;891,70;145;90,40;281;54,10;428;28,60;3956;13,80;6067;9,50;14405;7,60;19535;6,90;79223;5,20;188054;3,60
2025-09-23;476037;3334037,50;0;0,00;0;565440,80;0;33038,20;6;643,10;47;85,70;139;37,40;133;30,20;1877;10,20;2604;7,70;5296;7,20;8569;5,50;33050;4,40;68503;3,50
2025-09-19;625784;4672357,50;0;0,00;0;700266,50;0;32732,70;0;1416,00;53;138,70;107;71,70;109;43,10;1542;18,20;2448;12,70;5807;9,30;8070;8,70;36653;5,90;89296;3,80
2025-09-16;442708;3013555,00;0;0,00;0;265444,10;0;41359,10;2;1486,40;31;131,30;78;62,10;78;42,90;1166;14,50;1649;10,80;3636;9,80;6144;6,80;25066;5,10;54154;4,00
2025-09-12;577044;4206135,00;0;0,00;0;333007,50;0;31131,70;5;989,40;54;117,30;131;56,40;115;34,70;1661;14,20;2671;10,10;6027;8,40;8281;7,00;36672;5,20;82413;3,70
2025-09-09;426645;2864805,00;0;0,00;0;0,00;0;123026,70;1;1728,40;33;111,80;126;45,80;89;37,50;1571;11,10;1734;11,10;3862;9,10;7979;5,30;23860;5,40;53709;3,90
2025-09-05;628802;4726982,50;0;65278573,00;0;743932,40;0;34773,80;2;1805,20;30;160,60;141;54,50;95;53,40;2136;12,00;2203;12,80;4849;11,40;12156;5,10;34919;5,90;77198;4,50
2025-09-02;471684;3270887,50;0;0,00;0;284860,20;0;33288,20;3;2073,60;23;178,00;61;82,20;69;53,30;1094;17,80;1317;15,40;3700;10,90;6109;8,20;21564;6,90;56923;4,10
2025-08-29;591555;4355280,00;0;0,00;1;138979,10;0;81204,30;4;778,20;66;102,40;152;45,80;133;36,50;2299;10,70;2832;9,20;6250;8,10;11034;5,70;40672;4,70;87380;3,60
2025-08-26;435190;2957525,00;0;0,00;0;255796,20;0;29891,90;0;1960,10;32;146,50;49;87,10;74;47,20;878;20,30;1318;14,00;3555;10,40;4634;9,40;19978;6,80;52251;4,20
2025-08-22;559399;4079975,00;0;0,00;0;330801,20;1;14057,00;2;1337,80;62;107,80;134;58,50;149;31,30;1720;15,10;2480;10,50;6203;7,50;8335;7,50;33105;5,60;82369;3,50
2025-08-19;805982;7063035,00;0;250000000,00;0;270238,90;0;38515,60;4;1076,60;77;134,50;153;65,70;158;50,20;2660;15,00;3590;13,50;8151;11,20;14217;6,70;53030;6,10;121797;4,50
2025-08-15;834032;7268667,50;0;0,00;0;592222,90;1;21294,10;9;1368,60;66;155,20;212;67,60;149;50,40;3086;14,70;3355;13,50;7596;11,20;17255;6,30;53842;6,10;117588;4,40
2025-08-12;706115;5942125,00;0;0,00;0;970058,30;1;37786,40;3;1217,50;67;155,00;168;58,20;141;50,40;2701;13,00;3187;12,60;6732;10,80;15826;5,60;46595;5,90;98679;4,50
2025-08-08;812851;6891180,00;0;0,00;0;183180,90;0;12232,10;4;1111,20;96;100,60;219;59,10;343;25,60;2681;15,00;4090;11,20;10334;8,30;13433;7,40;55140;5,60;141431;3,70
2025-08-05;618537;4975750,00;0;0,00;0;281225,80;0;39436,20;0;2193,40;49;153,70;100;64,70;104;49,90;1761;15,10;2447;12,10;5977;9,70;10227;6,80;38018;5,70;87910;4,10
2025-08-01;732358;6019927,50;0;0,00;0;331615,70;1;16608,00;3;1065,00;96;101,60;152;57,30;169;30,90;2269;14,50;3395;10,50;8235;8,10;11575;7,20;47687;5,50;111849;3,70
2025-07-29;554497;4335195,00;0;0,00;0;193669,00;0;36210,90;4;2255,70;31;178,40;100;66,50;92;55,90;1940;13,60;1979;14,20;4127;12,10;11730;5,50;32897;6,10;73099;4,30
2025-07-25;659881;5294230,00;0;0,00;0;180631,10;1;23453,50;1;2435,00;57;141,80;147;79,40;135;39,70;1782;18,90;2735;12,80;7777;8,50;8711;8,90;38622;6,20;109561;3,50
2025-07-22;503223;3818352,50;0;0,00;0;144005,00;2;12944,70;0;2620,70;45;101,10;80;75,30;133;34,30;1119;18,60;2113;11,10;4786;9,00;6161;8,80;29717;5,60;68729;3,90
2025-07-18;648957;5105722,50;0;0,00;1;114872,30;1;26847,50;3;1286,50;76;103,60;190;49,50;185;37,60;2747;12,10;3206;10,20;6874;8,80;13671;6,00;47482;5,10;96065;3,80
2025-07-15;485735;3540180,00;0;0,00;0;625081,30;1;14609,10;2;1896,00;35;166,60;89;76,70;112;50,10;1097;17,80;1672;14,30;3955;10,90;6695;7,80;24327;6,80;57453;4,60
2025-07-11;608790;4639522,50;0;0,00;1;762238,80;0;22268,40;2;1734,00;55;141,10;126;71,00;116;43,20;1725;15,50;2311;12,60;5481;9,60;8879;7,30;36176;5,80;84574;3,90
2025-07-08;471323;3361780,00;0;0,00;2;66695,40;0;23381,70;3;993,10;52;82,60;116;44,80;127;34,40;1433;12,70;2427;8,90;4731;8,50;6992;6,60;30596;5,00;65262;3,80
2025-07-04;609956;4599277,50;0;0,00;0;723367,00;0;16906,20;2;1350,20;43;146,70;171;50,80;91;51,70;2312;11,10;2352;12,30;5154;11,10;11972;4,90;37256;5,60;77835;4,40
2025-07-01;458431;3205732,50;0;0,00;0;186076,90;1;16308,40;1;1195,20;42;124,30;97;64,20;69;49,50;1149;15,20;1932;10,40;3761;10,40;6142;7,10;28271;5,00;56584;4,20
2025-06-27;603349;4454230,00;0;0,00;0;139732,90;0;27214,90;2;1495,90;59;118,50;110;64,90;137;42,30;1410;16,20;2365;11,80;5389;9,90;7596;7,30;33738;5,90;76210;4,30
2025-06-24;451112;3083962,50;0;0,00;0;129694,40;0;60623,40;6;1218,20;44;96,80;119;43,00;119;32,20;1555;11,40;2336;8,60;4783;7,70;6935;6,30;29648;4,60;65017;3,40
2025-06-20;607754;4490920,00;0;0,00;0;172608,90;1;40341,50;2;1225,80;76;113,70;166;48,10;134;43,00;2380;11,30;2665;10,90;5469;9,80;12491;5,30;39216;5,30;79821;4,10
2025-06-17;916865;8467685,00;0;250000000,00;0;7825661,00;1;20064,10;7;1298,50;144;114,40;259;48,10;261;41,40;4171;11,40;5329;10,00;11209;9,20;21183;5,50;80292;4,70;162207;3,90
2025-06-13;1264701;11712515,00;0;0,00;0;4493785,70;1;25302,20;5;1557,80;134;153,00;351;57,90;241;51,70;5590;12,40;5731;13,30;12762;11,60;33099;5,10;86344;6,00;190269;4,60
2025-06-10;955936;8826987,50;0;0,00;0;5914294,60;1;26957,40;5;1799,20;78;152,00;170;73,40;229;50,60;3186;16,40;4055;13,10;9725;11,20;17575;7,30;66044;6,00;146368;4,50
2025-06-06;1324708;12568857,50;0;0,00;1;2737810,60;1;23054,20;6;1305,60;139;134,90;289;68,30;259;46,00;4408;16,50;6563;11,90;14603;9,80;23272;7,80;97737;5,80;224282;3,90
2025-06-03;962495;8701692,50;0;0,00;0;212330,10;2;33083,30;7;1204,40;76;144,70;246;53,90;179;49,50;3810;12,00;4340;12,20;9179;10,90;20031;5,40;67454;5,70;144868;4,40
