Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2024-12-28;673236;4854701,25;2;1250000,00;3;47737,80;115;1182,00;260;261,40;5581;22,50;6778;9,80;90140;6,25;59349;3,75;201158;1,25
2024-12-25;462909;2930531,25;0;0,00;3;28816,80;48;1709,40;252;162,80;2852;26,60;5666;7,10;48094;6,25;46722;3,75;149022;1,25
2024-12-21;667092;4759147,50;0;0,00;3;46798,20;101;1319,30;207;321,80;4080;30,20;5118;12,80;67748;6,25;48861;3,75;181443;1,25
2024-12-18;430923;2628688,75;0;0,00;0;0,00;81;908,60;136;270,60;3803;17,90;3583;10,10;54769;6,25;30572;3,75;102098;1,25
2024-12-14;660892;4680650,00;1;1000000,00;4;34519,70;108;1213,50;341;192,10;5659;21,40;7034;9,10;87483;6,25;62492;3,75;214363;1,25
2024-12-11;427182;2596975,00;1;1000000,00;1;76610,70;37;1965,20;112;324,60;1965;34,20;3197;11,20;33727;6,25;31831;3,75;132489;1,25
2024-12-07;689346;4983182,50;1;2500000,00;2;73501,90;66;2114,00;206;338,60;3869;33,30;5643;12,10;69895;6,25;58738;3,75;221180;1,25
2024-12-04;465429;2909713,75;0;0,00;4;21459,10;55;1481,30;306;133,10;3081;24,40;7247;6,25;51459;6,25;53901;3,75;162955;1,25
2024-11-30;666076;4728680,00;0;0,00;5;27899,20;96;1379,10;343;193,00;4716;25,90;8153;8,00;74211;6,25;70180;3,75;231735;1,25
2024-11-27;435193;2633828,75;0;0,00;0;0,00;55;1340,80;91;405,20;2192;31,10;2657;13,60;37688;6,25;27422;3,75;103876;1,25
2024-11-23;662101;4625946,25;1;1000000,00;1;136465,40;93;1392,70;219;295,70;4115;29,10;5566;11,40;70581;6,25;53000;3,75;194169;1,25
2024-11-20;439209;2685106,25;1;1500000,00;3;26403,50;41;1833,70;119;315,80;2464;28,20;2998;12,30;42216;6,25;26496;3,75;93684;1,25
2024-11-16;649268;4557635,00;0;0,00;2;67225,10;77;1657,30;194;328,90;4035;29,20;5439;11,50;74674;6,25;52501;3,75;197226;1,25
2024-11-13;419636;2541568,75;1;1000000,00;1;74976,20;101;704,50;136;261,60;3990;16,40;3199;10,90;55352;6,25;25856;3,75;86012;1,25
2024-11-09;650932;4582862,50;1;1000000,00;5;27038,80;148;867,00;204;314,50;6264;18,90;5149;12,20;89027;6,25;44895;3,75;155340;1,25
2024-11-06;439164;2667391,25;1;1000000,00;3;26229,30;59;1265,80;214;174,50;2902;23,80;5081;7,20;46616;6,25;41696;3,75;131578;1,25
2024-11-02;676691;4900317,50;1;2500000,00;6;24093,20;82;1673,20;243;282,30;4395;28,80;6129;11,00;70752;6,25;59226;3,75;218884;1,25
2024-10-30;472395;2986237,50;0;0,00;1;88094,00;85;983,70;162;258,00;3479;22,20;3598;11,40;55878;6,25;33040;3,75;113277;1,25
2024-10-26;650157;4632115,00;0;0,00;4;34161,80;70;1852,80;284;228,30;4089;29,30;7205;8,80;70343;6,25;65445;3,75;221169;1,25
2024-10-23;418555;2545521,25;0;0,00;2;37546,40;51;1397,50;110;323,90;2258;29,10;2889;12,10;39949;6,25;27024;3,75;94094;1,25
2024-10-19;692352;4976431,25;1;2500000,00;3;48934,90;153;910,70;371;187,70;6677;19,30;9059;7,50;97589;6,25;73928;3,75;232836;1,25
2024-10-16;453442;2838416,25;0;0,00;2;41866,60;58;1370,20;147;270,30;2852;25,70;3855;10,10;47845;6,25;35915;3,75;122778;1,25
2024-10-12;665050;4695208,75;0;0,00;2;69254,30;76;1729,80;204;322,20;4006;30,30;5830;11,10;73277;6,25;54231;3,75;195677;1,25
2024-10-09;432606;2619275,00;0;0,00;0;0,00;76;964,90;187;196,00;4136;16,40;4152;8,70;58175;6,25;32537;3,75;103626;1,25
